Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_OUT010,Outlet_OUT013,Outlet_OUT017,Outlet_OUT018,Outlet_OUT019,Outlet_OUT027,Outlet_OUT035,Outlet_OUT045,Outlet_OUT046,Outlet_OUT049
FDW58,0.964275081869604,0,0.014151359278212785,13,0.3250115450699156,OUT049,1999,1,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FDW14,0.22298303066388808,1,0.12175245134991833,4,0.23781910233685802,OUT017,2007,2,1,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCN55,0.5980946710330455,0,0.32580353182184535,11,0.893315913860196,OUT010,1998,2,2,0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDQ58,0.1643346233998214,0,0.04173632500358632,13,0.525232768983151,OUT017,2007,2,1,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDY38,0.5385531408157189,1,0.38697909484620124,4,0.8613810620106079,OUT027,1985,1,2,3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FDH56,0.3122953259898779,1,0.207900279235222,6,0.36443031871184184,OUT046,1997,2,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FDL48,0.8809169395653469,1,0.2703232225543662,0,0.07985368321686398,OUT018,2009,1,2,2,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FDC48,0.2762727002083955,0,0.04312025478528248,0,0.21124591678041962,OUT027,1985,1,2,3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FDN33,0.10419767788032147,1,0.4021422581693926,13,0.2735740140849853,OUT045,2002,2,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FDA36,0.08514438821077702,0,0.0075390008521197364,0,0.6604560981738417,OUT017,2007,2,1,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDT44,0.7171777314676988,0,0.33873463832398293,6,0.36951269618129834,OUT017,2007,2,1,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDQ56,0.1211670139922596,0,0.34597388898400944,6,0.22963144062098897,OUT045,2002,2,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NCC54,0.7856504912176243,0,0.5504898925351284,8,0.8876528872861615,OUT019,1985,2,0,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FDU11,0.01369455194998509,0,0.3035583856487327,1,0.3863345421700657,OUT049,1999,1,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DRL59,0.7261089610002978,0,0.062112723707968616,7,0.08803030920413724,OUT013,1987,0,2,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDM24,0.09407561774337597,1,0.25992852312629566,0,0.5108124673172653,OUT049,1999,1,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FDI57,0.9106877046740103,0,0.1752938230812376,12,0.7108995646829521,OUT045,2002,2,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DRC12,0.791604644239357,0,0.12021794525703325,14,0.6830640615555963,OUT018,2009,1,2,2,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NCM42,0.09377791009228936,0,0.08639851537654222,9,0.33277475568594694,OUT027,1985,1,2,3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FDA46,0.5385531408157189,0,0.6282615450508855,13,0.6894087565959702,OUT010,1998,2,2,0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDA31,0.15153319440309615,0,0.3592001250133102,6,0.6100126316647312,OUT013,1987,0,2,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCJ31,0.8719857100327477,0,0.5854611375939338,11,0.8855306317869731,OUT035,2004,2,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FDG52,0.5415302173265852,0,0.2139751289239453,5,0.06982305482549969,OUT046,1997,2,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NCL19,0.6427508186960404,0,0.08384026394283534,11,0.4713826579467433,OUT019,1985,2,0,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FDS10,0.8719857100327477,0,0.11057761726643195,13,0.6343073637172408,OUT035,2004,2,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
