,年份,创新指数,私营企业工商注册登记户数（户）,就业人员数（万人）,居民消费价格指数((上年=100)),城镇居民人均可支配收入（元）,实际利用外资额(万美元),GDP(亿元),第二产业增加值,第三产业增加值,高等教育在校学生数(人),专利申请授权数,金融机构人民币各项贷款余额（亿元）,一般公共预算支出（亿元）,医疗卫生机构数,地区
0,2000年,0.0165996544429912,102800,619.29,103.5,10589.64,245849,3277.8,1023.7,2174.9,280300,5905,6008.21,443.0,458,北京市
1,2001年,0.0197334944663529,124100,628.88,103.1,11938.73,400997,3861.5,1127.2,2653.6,336500,6246,7202.91,559.11,458,北京市
2,2002年,0.0222173144876325,150900,679.2,98.2,12949.09,509912,4525.7,1235.1,3208.2,395700,6345,9230.78,628.35,461,北京市
3,2003年,0.026561255829826,186800,703.28,100.2,14535.19,214675,5267.2,1456.4,3726.7,454500,8248,11314.71,734.8,458,北京市
4,2004年,0.0263093189082862,224700,854.07,101.0,16501.69,108354,6252.5,1773.7,4393.4,499500,9005,12600.24,898.28,503,北京市
5,2005年,0.0296583143507973,260400,878.0,101.5,18774.95,352638,7149.77,1907.4,5155.5,548300,10100,13834.46,1058.31,516,北京市
6,2006年,0.033130368598456,304700,919.7,100.9,21415.17,455191,8387.0,2072.1,6227.7,565800,11238,15632.7,1296.84,541,北京市
7,2007年,0.0357165588204095,336700,942.7,102.4,23752.22,506572,10425.5,2413.4,7912.8,578200,14954,17812.47,1649.5,535,北京市
8,2008年,0.0391273320420022,383800,980.9,105.1,26917.55,608172,11813.1,2526.7,9175.1,585600,17747,19985.04,1959.29,529,北京市
9,2009年,0.0433036161474507,432300,998.3,98.5,29328.96,612094,12900.9,2736.4,10047.7,586700,22921,25421.79,2319.37,522,北京市
10,2010年,0.046519254192823,496500,1067.3,102.4,32132.24,636358,14964.02,3233.1,11608.1,587100,33511,29563.78,2717.32,544,北京市
11,2011年,0.0499036785615998,544000,1090.1,105.6,36365.38,705447,17188.8,3563.3,13491.0,587900,40888,33367.05,3245.23,550,北京市
12,2012年,0.0538330494037479,600400,1115.3,103.3,40306.31,804160,19024.73,3856.0,15020.3,591200,50511,36441.35,3685.31,573,北京市
13,2013年,0.059215617305663,673400,1137.2,103.3,44564.0,852418,21134.58,4168.3,16806.5,598900,62671,40506.7,4173.66,596,北京市
14,2014年,0.0742774566473988,848100,1141.8,101.6,48531.85,904085,22926.0,4433.0,18333.9,604600,74661,45458.71,4524.67,608,北京市
15,2015年,0.0891274476125043,1037800,1164.4,101.8,52859.17,1299635,24779.1,4419.8,20218.9,603600,94031,50559.52,5737.7,631,北京市
16,2016年,0.101860895924554,1209700,1187.6,101.4,57275.31,1302858,27041.2,4665.8,22245.7,599200,102323,56618.87,6406.77,638,北京市
17,2017年,0.115470494417863,1375600,1191.3,101.9,62406.34,2433000,29883.0,5049.4,24711.7,592900,106948,63382.55,6824.53,656,北京市
18,2018年,0.124033288500336,1475500,1189.6,102.5,67989.89,1731089,33105.97,5477.35,27508.06,594900,123496,66766.98,7471.43,648,北京市
19,2019年,0.12376848331221,1464800,1183.5,102.3,73848.51,1421299,35445.13,5667.4,29663.38,601500,131716,73575.94,7408.19,664,北京市
20,2020年,0.129077161024231,1502200,1163.8,101.7,75601.52,1410000,35943.25,5739.1,30095.9,590000,162824,81035.19,7116.18,651,北京市
21,2021年,0.139991364421416,1621100,1158.0,101.1,81517.5,1443424,41045.6,7389.0,33545.2,596000,198778,86077.5,7205.12,644,北京市
22,2022年,0.151169949651091,1711395,1132.1,101.8,84023.13,1741000,41610.9,6605.1,34894.3,603000,203000,95496.9,7469.15,741,北京市
23,2000年,0.0166586190246258,138000,828.4,102.5,11718.01,639000,4812.15,2215.8,2521.6,226800,4050,5959.51,608.56,291,上海市
24,2001年,0.0233949222384687,176000,752.3,100.0,12883.46,741000,5257.66,2413.8,2767.8,280000,5371,7187.9,708.14,281,上海市
25,2002年,0.0284090909090909,225000,792.0,100.5,13250.17,503000,5795.02,2635.3,3082.1,331600,6693,9073.78,862.38,206,上海市
26,2003年,0.0359119419505596,292000,813.1,100.1,14867.49,585000,6804.04,3239.6,3485.4,378500,16671,11182.21,1088.44,219,上海市
27,2004年,0.0460031067033098,385000,836.9,102.2,16682.82,654100,8101.55,3872.2,4148.0,415700,10625,12380.21,1382.53,238,上海市
28,2005年,0.0549055948106104,474000,863.3,101.0,18645.03,685000,9197.13,4314.9,4794.2,442600,12603,13709.78,1646.26,247,上海市
29,2006年,0.0572557876905703,507000,885.5,101.2,20667.91,710700,10598.86,4929.2,5578.2,466300,16602,14826.93,1795.57,260,上海市
30,2007年,0.0487161964268281,499000,1024.3,103.2,23622.73,792000,12878.68,5677.5,7101.8,484900,24481,16607.77,2181.68,292,上海市
31,2008年,0.0558298518799848,588000,1053.2,105.8,26674.9,1008400,14536.9,6215.5,8212.1,502900,24468,18987.39,2593.92,299,上海市
32,2009年,0.059282224727546,631000,1064.4,99.6,28837.78,1054000,15742.44,6184.8,9445.3,512800,34913,24108.16,2989.65,296,上海市
33,2010年,0.0647231389805647,706000,1090.8,103.1,31838.08,1112100,17915.41,7434.9,10366.1,515700,48215,27970.18,3302.89,306,上海市
34,2011年,0.0703613148600924,777000,1104.3,105.2,36230.48,1260055,20009.68,8169.3,11713.9,511300,47960,30644.58,3914.88,308,上海市
35,2012年,0.0759300761990139,847000,1115.5,102.8,40188.34,1518500,21305.59,8174.1,13002.1,506600,51508,33814.1,4184.02,320,上海市
36,2013年,0.0685952224413763,939000,1368.9,102.3,44878.32,1678000,23204.12,8286.5,14786.0,504800,48680,37033.88,4528.61,328,上海市
37,2014年,0.0821616871704745,1122000,1365.6,102.7,48841.4,1816600,25269.75,8633.3,16504.5,506600,50488,40375.78,4923.44,332,上海市
38,2015年,0.098053617333823,1335000,1361.5,102.4,52961.86,1845900,26887.02,8408.7,18352.8,511600,60623,45150.28,6191.56,338,上海市
39,2016年,0.10914151772634,1490000,1365.2,103.2,57691.67,1851378,29887.02,8570.2,21202.4,514700,64230,50931.26,6918.94,349,上海市
40,2017年,0.124435378114527,1708000,1372.6,101.7,62595.74,1700800,32925.01,9525.9,23288.3,514900,72806,57992.21,7547.62,363,上海市
41,2018年,0.137457294468271,1891000,1375.7,101.6,68033.62,1730000,36011.82,10360.78,25546.26,517800,92460,64139.82,8351.54,358,上海市
42,2019年,0.146635663421014,2018000,1376.2,102.5,73615.32,1904800,37987.55,10193.6,27686.9,526600,100587,70167.21,8179.28,374,上海市
43,2020年,0.161846360989811,2223769,1374.0,101.7,76437.26,1551500,38963.3,10258.6,28597.1,540700,139780,74413.63,8102.11,398,上海市
44,2021年,0.177408498168498,2421626,1365.0,101.2,82428.9,2255100,43653.17,11366.7,32190.4,548700,179317,84281.24,8430.86,426,上海市
45,2022年,0.202715847395451,2763017,1363.0,102.5,84034.0,2396000,44652.8,11458.43,33097.42,554800,163400,92513.24,9393.16,455,上海市
46,2000年,0.00946991204907781,47699,503.69,102.8,13621.83,311541,2505.58,1029.94,1381.27,185078,3182,3895.49,240.72,252,广州市
47,2001年,0.0102344776207187,52203,510.07,98.9,14694.0,332746,2857.92,1125.06,1632.08,244736,3337,4336.5,292.63,253,广州市
48,2002年,0.0129544039838157,66596,514.08,97.6,13380.47,265299,3224.33,1227.13,1889.55,299037,3656,5257.21,326.67,196,广州市
49,2003年,0.0150851133245053,78604,521.07,100.1,15002.59,306409,3780.45,1508.12,2162.78,374742,5020,6127.27,370.09,183,广州市
50,2004年,0.0184683101847571,99860,540.71,101.7,16884.16,247696,4477.35,1817.72,2545.34,459676,5535,6535.39,408.34,188,广州市
51,2005年,0.0195611530828952,112371,574.46,101.5,18287.24,284128,5187.85,2067.0,2990.63,554327,5724,6908.03,438.41,211,广州市
52,2006年,0.021747789824854,130378,599.5,102.29,19850.66,305477,6124.2,2430.02,3511.84,618442,6399,7931.78,506.79,223,广州市
53,2007年,0.022449369016885,140001,623.63,103.4,22469.22,341138,7202.95,2806.76,4164.67,687115,8524,8737.05,623.69,225,广州市
54,2008年,0.0242756930617246,158496,652.9,105.9,25316.72,377413,8366.02,3198.96,4890.32,736152,8081,10304.73,713.35,218,广州市
55,2009年,0.0258035780019142,175245,679.15,97.5,27609.59,387476,9146.74,3405.16,5560.77,796006,11095,12598.16,789.92,224,广州市
56,2010年,0.0278531374073923,204144,732.93,103.2,30658.49,408121,10640.67,4053.3,6418.75,843934,15091,14987.73,977.32,216,广州市
57,2011年,0.0328972792593988,244486,743.18,105.5,34438.08,437626,12199.69,4673.65,7694.45,896123,18346,16333.43,1181.25,207,广州市
58,2012年,0.0348193797417809,261598,751.3,103.0,38053.52,474312,13194.69,4828.67,8668.96,938208,21997,18023.02,1343.65,224,广州市
59,2013年,0.0358764285973991,296020,825.11,102.6,42049.14,507853,15050.4,5318.45,9535.82,983051,26156,20172.97,1386.13,222,广州市
60,2014年,0.0416915058974125,364784,874.96,102.3,42954.6,543905,16135.95,5647.85,10287.29,1019291,28137,22688.33,1436.22,224,广州市
61,2015年,0.0490894591070255,455506,927.91,101.7,46734.6,541634,17347.37,5777.17,11363.68,1043221,39834,26136.95,1727.72,229,广州市
62,2016年,0.0581868087016856,570254,980.04,102.7,50940.72,570120,18559.73,5813.45,12530.25,1057281,48313,28885.54,1943.75,243,广州市
63,2017年,0.0694057869008938,719856,1037.17,102.3,55400.49,628947,19871.67,5900.61,13750.61,1067335,60201,33312.73,2186.01,243,广州市
64,2018年,0.0844409267389963,930843,1102.36,102.4,59982.11,661108,21002.44,6109.95,14663.32,1086407,89826,39764.44,2506.18,255,广州市
65,2019年,0.101903738375863,1147324,1125.89,103.0,65052.11,714349,23844.69,6509.4,17088.17,1140949,104813,46155.78,2865.33,269,广州市
66,2020年,0.124857643716376,1445864,1158.01,102.6,68304.1,708498,25068.75,6716.16,18066.32,1307144,155835,53535.39,2952.65,289,广州市
67,2021年,0.142486591487313,1657746,1163.44,101.1,74416.17,779589,28231.97,7722.67,20202.89,1412600,189516,60238.74,3021.18,291,广州市
68,2022年,0.16271404109589,1900500,1168.0,102.4,76849.0,824026,28839.0,7909.29,20611.4,1489300,146900,67883.23,3014.22,298,广州市
69,2000年,0.00907130976693265,43086,474.97,102.8,20905.68,296839,2219.2,1108.76,1094.87,14123,2401,2292.18,225.04,72,深圳市
70,2001年,0.0111719926725015,54888,491.3,97.8,22759.92,360277,2482.49,1055.68,1236.68,18743,3506,2860.75,253.7,75,深圳市
71,2002年,0.01313277357084,66943,509.74,101.2,24940.68,490220,2969.52,1234.69,1488.14,26778,4486,3514.28,307.78,77,深圳市
72,2003年,0.0167640747168262,89837,535.89,100.7,25935.84,504213,3585.72,1723.66,1754.1,32106,4937,4525.05,348.95,85,深圳市
73,2004年,0.0221121724745184,124308,562.17,101.3,27596.4,235000,4282.14,2108.14,2058.85,41251,7737,5242.77,377.57,87,深圳市
74,2005年,0.0264104744386215,152193,576.26,101.6,21494.4,296900,5035.77,2709.69,2316.34,45314,8983,6168.04,599.16,97,深圳市
75,2006年,0.0314477827341905,191756,609.76,102.16,22567.08,326600,5920.66,3049.53,2746.51,51220,11494,6755.32,571.42,99,深圳市
76,2007年,0.0350887793419975,227063,647.11,104.1,24301.38,366200,6925.23,3404.76,3378.06,58910,15552,7965.45,727.97,101,深圳市
77,2008年,0.0336875503773723,229867,682.35,105.9,26729.31,403000,7941.43,3815.78,3918.03,64675,18805,9058.46,889.86,100,深圳市
78,2009年,0.0355250756623043,257063,723.61,98.7,29244.52,428243,8514.47,3827.08,4367.55,66952,25894,11646.34,1000.84,101,深圳市
79,2010年,0.0396209610339753,309618,781.45,103.5,32380.86,430000,10069.06,4727.94,5335.01,67324,34951,13708.16,1266.07,107,深圳市
80,2011年,0.044481772694782,367157,825.41,105.4,36505.04,459921,11922.81,5612.86,6187.43,70004,39363,15714.96,1590.56,110,深圳市
81,2012年,0.0478345269506219,431477,902.02,102.8,40741.88,522944,13496.27,6055.91,7256.95,75570,48662,17305.47,1569.01,115,深圳市
82,2013年,0.0610297588453107,581815,953.33,102.7,44653.1,547000,15234.24,6664.75,8563.15,82401,49756,19803.58,1690.83,117,深圳市
83,2014年,0.0788400356576862,795969,1009.6,102.0,40948.0,581000,16795.35,7232.17,9557.43,87674,53687,22805.39,2166.18,122,深圳市
84,2015年,0.0999735080998754,1083063,1083.35,102.2,44633.3,649733,18436.84,7687.41,10742.22,90511,72120,27129.99,3521.67,123,深圳市
85,2016年,0.127293108584044,1452949,1141.42,102.4,48695.0,673227,20685.74,8324.09,12353.36,91883,75043,34034.29,4211.04,134,深圳市
86,2017年,0.141622715869481,1710505,1207.79,101.4,52938.03,740126,23280.27,9337.52,13923.18,96702,94250,39940.61,4593.8,135,深圳市
87,2018年,0.15652644319838,1900998,1214.49,102.8,57543.64,820000,25266.08,9995.87,15247.6,103829,140202,47024.58,4282.54,140,深圳市
88,2019年,0.159852555088638,1966650,1230.29,103.4,62522.39,780900,26992.33,10402.0,16564.75,113214,166609,54602.36,4552.73,144,深圳市
89,2020年,0.176363937044716,2186225,1239.61,102.3,64877.67,868300,27759.02,10380.65,17352.77,136184,222412,63091.82,4177.72,145,深圳市
90,2021年,0.187234346646111,2331854,1245.42,100.9,70847.32,1096500,30664.85,11338.59,19299.67,145181,279177,72218.17,4570.22,145,深圳市
91,2022年,0.193829313099042,2426743,1252.0,102.3,72718.0,1100000,32387.68,12405.88,19956.16,155300,275774,83422.99,4997.24,151,深圳市
92,2000年,0.00438607238244591,17900,408.11,100.8,9668.0,43100,1395.67,717.88,573.83,112777,1339,1686.64,73.43,396,杭州市
93,2001年,0.00505832808945254,20900,413.18,99.5,10896.0,50324,1582.94,803.16,668.32,162219,1300,2087.7,104.93,391,杭州市
94,2002年,0.00560593009022079,24730,441.14,98.8,11778.0,52186,1798.96,912.78,771.53,208338,1400,2752.38,141.02,116,杭州市
95,2003年,0.00670232362014248,30200,450.59,99.5339,12898.0,101000,2118.71,1087.74,904.38,269798,1600,3686.9,163.59,99,杭州市
96,2004年,0.0073147172462241,33320,455.52,102.5,14565.0,141000,2566.46,1334.99,1099.24,292946,2459,4800.04,195.63,114,杭州市
97,2005年,0.00746206609852422,35900,481.1,101.7,16601.0,172600,2973.74,1524.25,1309.21,328524,4072,5545.3,238.33,127,杭州市
98,2006年,0.0079342457195291,40640,512.21,101.2,19027.0,225536,3483.41,1763.65,1569.89,349976,5742,6496.03,275.48,134,杭州市
