Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_OUT010,Outlet_OUT013,Outlet_OUT017,Outlet_OUT018,Outlet_OUT019,Outlet_OUT027,Outlet_OUT035,Outlet_OUT045,Outlet_OUT046,Outlet_OUT049
FDA15,0.28252456088121464,0,0.044049846775888364,4,0.9275071477565213,OUT049,1999,1,0,1,3735.138,False,False,False,False,False,False,False,False,False,True
DRC01,0.08127418874665077,1,0.0553723875763289,14,0.07206840114364105,OUT018,2009,1,2,2,443.4228,False,False,False,True,False,False,False,False,False,False
FDN15,0.7707651086632927,0,0.046550811198510934,10,0.46828840942892647,OUT049,1999,1,0,1,2097.27,False,False,False,False,False,False,False,False,False,True
FDX07,0.8719857100327477,1,0.0503168486983625,6,0.6400934811102282,OUT010,1998,2,2,0,732.38,True,False,False,False,False,False,False,False,False,False
NCD19,0.26049419470080376,0,0.02198284599701848,9,0.09580455554876435,OUT013,1987,0,2,1,994.7052,False,True,False,False,False,False,False,False,False,False
FDP36,0.3477225364691872,1,0.18517079888298504,0,0.08536051178615814,OUT018,2009,1,2,2,556.6088,False,False,False,True,False,False,False,False,False,False
FDO10,0.5415302173265852,1,0.03242609824758042,13,0.11192266161400077,OUT013,1987,0,2,1,343.5528,False,True,False,False,False,False,False,False,False,False
FDP10,0.8600774039892825,0,0.4151487292724293,13,0.324587093970078,OUT027,1985,1,2,3,4022.7636,False,False,False,False,False,True,False,False,False,False
FDH17,0.693361119380768,1,0.04629488794127094,5,0.2787905181019905,OUT045,2002,2,1,1,1076.5986,False,False,False,False,False,False,False,True,False,False
FDU28,0.8719857100327477,1,0.3091413446719476,5,0.6643992488913338,OUT017,2007,2,1,1,4710.535,False,False,True,False,False,False,False,False,False,False
FDY07,0.43137838642453114,0,0.1292960977610013,6,0.06048513062907049,OUT049,1999,1,0,1,1516.0266,False,False,False,False,False,False,False,False,False,True
FDA03,0.8303066388806193,1,0.14583542930946944,4,0.4788665797390814,OUT046,1997,2,0,1,2187.153,False,False,False,False,False,False,False,False,True,False
FDX32,0.6278654361417089,1,0.32722576617208904,6,0.4846747685892604,OUT049,1999,1,0,1,1589.2646,False,False,False,False,False,False,False,False,False,True
FDS46,0.7767192616850254,1,0.15194844240763977,13,0.375164687026737,OUT046,1997,2,0,1,2145.2076,False,False,False,False,False,False,False,False,True,False
FDF32,0.7022923489133672,0,0.2219762948623643,6,0.7009920271105406,OUT013,1987,0,2,1,1977.426,False,True,False,False,False,False,False,False,False,False
