URL,区域,房源维护时间,房源编号,租赁方式,房屋类型,房屋类型厅室,房屋类型面积,房屋类型精装修,经纪人,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金,押金,服务费,中介费
https://bj.lianjia.com/zufang/BJ2499206787329703936.html,房山 良乡 行宫园三里,2020-04-19,BJ2499206787329703936,整租,3室1厅1卫 81㎡,3室1厅1卫,81㎡,#,吴冬雪,81㎡,南 北,3天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,2200,2200,0,2200,
https://bj.lianjia.com/zufang/BJ2499064233556180992.html,海淀 西山 门头馨村,2020-04-20,BJ2499064233556180992,整租,1室1厅1卫 60㎡,1室1厅1卫,60㎡,#,郭栋,60㎡,南,2天前,随时入住,高楼层/4层,无,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,4200,4200,0,4200,
https://bj.lianjia.com/zufang/BJ2499229702750224384.html,通州 万达 西营前街,2020-04-15,BJ2499229702750224384,整租,1室1厅1卫 27㎡,1室1厅1卫,27㎡,#,袁鸣,27㎡,北,7天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,2100,2100,0,2100,
https://bj.lianjia.com/zufang/BJ2498323525845393408.html,房山 良乡 宜春里,2020-04-12,BJ2498323525845393408,整租,3室1厅1卫 69㎡ 精装修,3室1厅1卫,69㎡,精装修,杜坤,69㎡,南 北,10天前,2020-04-29,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2600,2600,0,2600,
https://bj.lianjia.com/zufang/BJ2498417218426249216.html,朝阳 东坝 红松园1号院,2020-04-18,BJ2498417218426249216,整租,2室1厅1卫 57㎡,2室1厅1卫,57㎡,#,杨康乐,57㎡,南 北,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,4300,4300,0,4300,
https://bj.lianjia.com/zufang/BJ2497707793931304960.html,朝阳 首都机场 首都机场南路西里,2020-04-19,BJ2497707793931304960,整租,2室1厅1卫 56㎡,2室1厅1卫,56㎡,#,赵越,56㎡,南 北,3天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4100,4100,0,4100,
https://bj.lianjia.com/zufang/BJ2497702744182497280.html,房山 良乡 花园巷小区,2020-04-19,BJ2497702744182497280,整租,2室1厅1卫 72㎡,2室1厅1卫,72㎡,#,邓浩,72㎡,南 北,3天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2600,2600,0,2600,
https://bj.lianjia.com/zufang/BJ2497659987967344640.html,顺义 顺义城 石园西区,2020-04-16,BJ2497659987967344640,整租,2室1厅1卫 58㎡ 精装修,2室1厅1卫,58㎡,精装修,秦冬梅,58㎡,南 北,6天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,2900,2900,0,2900,
https://bj.lianjia.com/zufang/BJ2498314818990653440.html,朝阳 十里河 周庄嘉园6号院,2020-04-21,BJ2498314818990653440,整租,1室1厅1卫 56㎡,1室1厅1卫,56㎡,#,秦晨曦,56㎡,南,1天前,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4500,4500,0,4500,
https://bj.lianjia.com/zufang/BJ2499763981363978240.html,朝阳 定福庄 金星小区,2020-04-20,BJ2499763981363978240,整租,2室1厅1卫 58㎡ 精装修,2室1厅1卫,58㎡,精装修,徐晓楠,58㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4500,4500,0,4500,
https://bj.lianjia.com/zufang/BJ2498376768524648448.html,海淀 海淀北部新区 凯盛家园,2020-04-21,BJ2498376768524648448,整租,1室1厅1卫 61㎡,1室1厅1卫,61㎡,#,沈春柳,61㎡,南,1天前,随时入住,中楼层/15层,无,免费使用,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,需咨询,3700,3700,0,3700,
https://bj.lianjia.com/zufang/BJ2497852066295185408.html,西城 白纸坊 建功北里,2020-04-15,BJ2497852066295185408,整租,1室1厅1卫 48㎡,1室1厅1卫,48㎡,#,郭伟文,48㎡,南,7天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0,4800,
https://bj.lianjia.com/zufang/BJ2498601694586748928.html,朝阳 定福庄 金星小区,2020-04-18,BJ2498601694586748928,整租,1室1厅1卫 51㎡ 精装修,1室1厅1卫,51㎡,精装修,黄姚,51㎡,西,4天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4100,4100,0,4100,
https://bj.lianjia.com/zufang/BJ2497748315421286400.html,朝阳 定福庄 电建北院,2020-04-17,BJ2497748315421286400,整租,2室1厅1卫 58㎡ 精装修,2室1厅1卫,58㎡,精装修,江志鹏,58㎡,南,5天前,随时入住,高楼层/5层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5000,5000,0,5000,
https://bj.lianjia.com/zufang/BJ2497780886934921216.html,朝阳 石佛营 八里庄北里小区,2020-04-20,BJ2497780886934921216,整租,1室1厅1卫 42㎡ 精装修,1室1厅1卫,42㎡,精装修,李强,42㎡,南,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,4800,4800,0,4800,
https://bj.lianjia.com/zufang/BJ2498379846037028864.html,朝阳 定福庄 定福庄西街,2020-04-22,BJ2498379846037028864,整租,1室1厅1卫 52㎡,1室1厅1卫,52㎡,#,李迦南,52㎡,南,今天,随时入住,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4300,4300,0,4300,
https://bj.lianjia.com/zufang/BJ2497595705712189440.html,东城 东花市 东花市北里中区,2020-04-22,BJ2497595705712189440,整租,1室1厅1卫 49㎡ 精装修,1室1厅1卫,49㎡,精装修,杨强,49㎡,东,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5200,5200,0,5200,
https://bj.lianjia.com/zufang/BJ2498302830478639104.html,朝阳 安贞 安华里社区,2020-04-22,BJ2498302830478639104,整租,1室1厅1卫 44㎡,1室1厅1卫,44㎡,#,谷雷,44㎡,西,今天,随时入住,中楼层/6层,无,租用车位,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4500,4500,0,4500,
https://bj.lianjia.com/zufang/BJ2497744931750150144.html,朝阳 豆各庄 朝丰家园,2020-04-20,BJ2497744931750150144,整租,2室1厅1卫 78㎡,2室1厅1卫,78㎡,#,贾晨念,78㎡,南 北,2天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,需咨询,4100,4100,0,4100,
https://bj.lianjia.com/zufang/BJ2499221202086658048.html,朝阳 双桥 乐栋300,2020-04-14,BJ2499221202086658048,整租,2房间1卫 41㎡ 精装修,2房间1卫,41㎡,精装修,张会然,41㎡,东南,8天前,随时入住,高楼层/4层,有,租用车位,民水,民电,无,自采暖,2年以内,需提前预约,需咨询,4500,4500,0,4500,
https://bj.lianjia.com/zufang/BJ2499972311948460032.html,朝阳 南沙滩 南沙滩小区,2020-04-18,BJ2499972311948460032,整租,1室1厅1卫 40㎡,1室1厅1卫,40㎡,#,程龙,40㎡,东,4天前,2020-04-30,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5000,5000,0,5000,
https://bj.lianjia.com/zufang/BJ2499909576997216256.html,朝阳 管庄 管庄西里,2020-04-22,BJ2499909576997216256,整租,2室1厅1卫 60㎡ 精装修,2室1厅1卫,60㎡,精装修,李世杰,60㎡,南 北,今天,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4500,4500,0,4500,
https://bj.lianjia.com/zufang/BJ2499003139894812672.html,房山 良乡 房山超级蜂巢,2020-04-22,BJ2499003139894812672,整租,1室1厅1卫 73㎡ 精装修,1室1厅1卫,73㎡,精装修,罗文静,73㎡,西,今天,随时入住,高楼层/3层,有,租用车位,暂无数据,商电,有,集中供暖,2年以内,需提前预约,季付,2600,2600,0,2600,
https://bj.lianjia.com/zufang/BJ2496422195849330688.html,海淀 海淀北部新区 北京地球站院内西宿舍楼,2020-04-14,BJ2496422195849330688,整租,2室1厅1卫 59㎡ 精装修,2室1厅1卫,59㎡,精装修,,59㎡,东 南 北,8天前,2020-05-20,高楼层/2层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,需咨询,3500,3500,0,3500,
https://bj.lianjia.com/zufang/BJ2497764045772562432.html,顺义 顺义城 仓上小区,2020-04-17,BJ2497764045772562432,整租,2室1厅1卫 60㎡,2室1厅1卫,60㎡,#,李国强,60㎡,南 北,5天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3000,3000,0,3000,
https://bj.lianjia.com/zufang/BJ2497727066733559808.html,亦庄开发区 马驹桥 新海南里,2020-04-19,BJ2497727066733559808,整租,1室1厅1卫 67㎡,1室1厅1卫,67㎡,#,张硕,67㎡,南 北,3天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3200,3200,0,3200,
https://bj.lianjia.com/zufang/BJ2497811020668469248.html,顺义 顺义其它 浅山香邑,2020-04-13,BJ2497811020668469248,整租,2室1厅1卫 88㎡,2室1厅1卫,88㎡,#,仝鑫,88㎡,南 北,9天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2400,2400,0,2400,
https://bj.lianjia.com/zufang/BJ2498562714402553856.html,朝阳 东坝 康静里,2020-04-20,BJ2498562714402553856,整租,2室1厅1卫 60㎡,2室1厅1卫,60㎡,#,尹秋英,60㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4100,4100,0,4100,
https://bj.lianjia.com/zufang/BJ2497792272205357056.html,丰台 新宫 天骄俊园8号院,2020-04-13,BJ2497792272205357056,整租,1室1厅1卫 57㎡,1室1厅1卫,57㎡,#,张云,57㎡,南,9天前,随时入住,低楼层/13层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,需咨询,3500,3500,0,3500,
https://bj.lianjia.com/zufang/BJ2500478033727586304.html,西城 广安门 熔炼厂宿舍,2020-04-19,BJ2500478033727586304,整租,1室1厅1卫 48㎡ 精装修,1室1厅1卫,48㎡,精装修,张悦,48㎡,南,3天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4400,4400,0,4400,
https://bj.lianjia.com/zufang/BJ2498536868237549568.html,朝阳 豆各庄 朝丰家园,2020-04-20,BJ2498536868237549568,整租,2室1厅1卫 74㎡ 精装修,2室1厅1卫,74㎡,精装修,于洋,74㎡,南 北,2天前,随时入住,低楼层/13层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,4600,4600,0,4600,
https://bj.lianjia.com/zufang/BJ2499885473573912576.html,朝阳 东坝 红松园小区,2020-04-20,BJ2499885473573912576,整租,3室1厅1卫 68㎡,3室1厅1卫,68㎡,#,张陵,68㎡,南 北,2天前,2020-05-05,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5000,5000,0,5000,
https://bj.lianjia.com/zufang/BJ2499030265523863552.html,房山 良乡 明源北里,2020-04-17,BJ2499030265523863552,整租,3室1厅1卫 88㎡,3室1厅1卫,88㎡,#,鲁博宇,88㎡,南 北,5天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2200,2200,0,2200,
https://bj.lianjia.com/zufang/BJ2499388419583778816.html,东城 永定门 华龙美晟,2020-04-16,BJ2499388419583778816,整租,1室1厅1卫 45㎡ 精装修,1室1厅1卫,45㎡,精装修,于士峰,45㎡,南,6天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,自采暖,3年以内,需提前预约,需咨询,5200,5200,0,5200,
https://bj.lianjia.com/zufang/BJ2499819992024367104.html,朝阳 双桥 远洋一方润园6号院,2020-04-18,BJ2499819992024367104,整租,1室1厅1卫 55㎡ 精装修,1室1厅1卫,55㎡,精装修,伊聪颖,55㎡,南,4天前,2020-05-04,中楼层/15层,有,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4100,4100,0,4100,
https://bj.lianjia.com/zufang/BJ2499924496664756224.html,石景山 苹果园 模式口西里,2020-04-16,BJ2499924496664756224,整租,2室1厅1卫 64㎡,2室1厅1卫,64㎡,#,王书新,64㎡,南,6天前,随时入住,低楼层/14层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3600,3600,0,3600,
https://bj.lianjia.com/zufang/BJ2497888433134116864.html,西城 右安门内 右安门内西街甲2号院,2020-04-21,BJ2497888433134116864,整租,1室1厅1卫 42㎡,1室1厅1卫,42㎡,#,王淼,42㎡,南,1天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800,
https://bj.lianjia.com/zufang/BJ2497674567410532352.html,朝阳 双桥 远洋一方润园6号院,2020-04-21,BJ2497674567410532352,整租,2室1厅1卫 75㎡ 精装修,2室1厅1卫,75㎡,精装修,伊聪颖,75㎡,东 西,1天前,2020-05-19,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5000,5000,0,5000,
https://bj.lianjia.com/zufang/BJ2499320794761936896.html,朝阳 定福庄 五建小区,2020-04-15,BJ2499320794761936896,整租,1室1厅1卫 44㎡,1室1厅1卫,44㎡,#,王嘉斌,44㎡,南,7天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,需咨询,3950,3950,0,3950,
https://bj.lianjia.com/zufang/BJ2499160159377965056.html,顺义 顺义城 建新南区,2020-04-14,BJ2499160159377965056,整租,2室1厅1卫 52㎡,2室1厅1卫,52㎡,#,张晓敏,52㎡,西 北,8天前,2020-04-30,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,2900,2900,0,2900,
https://bj.lianjia.com/zufang/BJ2499774805562368000.html,门头沟 城子 桥东街小区,2020-04-21,BJ2499774805562368000,整租,1室1厅1卫 45㎡,1室1厅1卫,45㎡,#,陈丽伟,45㎡,南,1天前,2020-04-30,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,2500,2500,0,2500,
https://bj.lianjia.com/zufang/BJ2499849652011548672.html,朝阳 东坝 东泽园,2020-04-15,BJ2499849652011548672,整租,2室1厅1卫 75㎡,2室1厅1卫,75㎡,#,代晓燕,75㎡,南,7天前,随时入住,中楼层/21层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,4900,4900,0,4900,
https://bj.lianjia.com/zufang/BJ2496200482499346432.html,顺义 李桥 馨港庄园三区,2020-04-15,BJ2496200482499346432,整租,2室2厅1卫 87㎡,2室2厅1卫,87㎡,#,林上海,87㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000,
https://bj.lianjia.com/zufang/BJ2496163580936716288.html,昌平 小汤山 土沟新村,2020-04-09,BJ2496163580936716288,整租,1室1厅1卫 54㎡ 精装修,1室1厅1卫,54㎡,精装修,,54㎡,南 北,13天前,随时入住,高楼层/5层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,季付,2500,2500,0,2500,
https://bj.lianjia.com/zufang/BJ2496173030921732096.html,大兴 大兴其它 联港嘉园A区,2020-04-09,BJ2496173030921732096,整租,2室1厅1卫 87㎡,2室1厅1卫,87㎡,#,葛佳星,87㎡,南,13天前,随时入住,低楼层/6层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000,
https://bj.lianjia.com/zufang/BJ2496972593433944064.html,顺义 顺义城 裕龙四区,2020-04-11,BJ2496972593433944064,整租,2室1厅1卫 72㎡,2室1厅1卫,72㎡,#,刘杨,72㎡,南 北,11天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3100,3100,0,3100,
https://bj.lianjia.com/zufang/BJ2496117957722112000.html,丰台 青塔 张仪村4号院,2020-04-19,BJ2496117957722112000,整租,1室1厅1卫 61㎡,1室1厅1卫,61㎡,#,杨星,61㎡,南 北,3天前,随时入住,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,3500,3500,0,3500,
https://bj.lianjia.com/zufang/BJ2496891024715022336.html,朝阳 十里河 吕营嘉园C区,2020-04-18,BJ2496891024715022336,整租,1室1厅1卫 60㎡,1室1厅1卫,60㎡,#,郭小磊,60㎡,南 北,4天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,4300,4300,0,4300,
https://bj.lianjia.com/zufang/BJ2500593998247501824.html,顺义 顺义城 石园东苑,2020-04-22,BJ2500593998247501824,整租,1室1厅1卫 73㎡,1室1厅1卫,73㎡,#,刘杨,73㎡,南 北,今天,2020-04-30,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2900,2900,0,2900,
https://bj.lianjia.com/zufang/BJ2500484356607582208.html,顺义 李桥 樱花园三区,2020-04-22,BJ2500484356607582208,整租,1室1厅1卫 66㎡,1室1厅1卫,66㎡,#,覃建鹏,66㎡,南 北,今天,2020-04-30,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3000,3000,0,3000,
https://bj.lianjia.com/zufang/BJ2499780242840240128.html,东城 东四 九道湾北巷,2020-04-20,BJ2499780242840240128,整租,2室1厅1卫 35㎡,2室1厅1卫,35㎡,#,郭彦斌,35㎡,南,2天前,2020-05-05,低楼层/1层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以上,需提前预约,季付,4500,4500,0,4500,
https://bj.lianjia.com/zufang/BJ2499260190801797120.html,顺义 顺义城 石园西区,2020-04-15,BJ2499260190801797120,整租,2室1厅1卫 69㎡ 精装修,2室1厅1卫,69㎡,精装修,秦冬梅,69㎡,南 北,7天前,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3100,3100,0,3100,
https://bj.lianjia.com/zufang/BJ2500550561917566976.html,顺义 顺义城 石园西区,2020-04-16,BJ2500550561917566976,整租,1室1厅1卫 59㎡,1室1厅1卫,59㎡,#,米雅欣,59㎡,南 北,6天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2800,2800,0,2800,
https://bj.lianjia.com/zufang/BJ2500091315056803840.html,顺义 马坡 马坡花园二区,2020-04-16,BJ2500091315056803840,整租,2室1厅1卫 85㎡,2室1厅1卫,85㎡,#,马从刚,85㎡,南 北,6天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000,
https://bj.lianjia.com/zufang/BJ2497678933806555136.html,顺义 顺义城 交通局家属楼,2020-04-15,BJ2497678933806555136,整租,2室1厅1卫 57㎡,2室1厅1卫,57㎡,#,吕杰,57㎡,东 西,7天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3100,3100,0,3100,
https://bj.lianjia.com/zufang/BJ2497808691630448640.html,东城 崇文门 兴隆都市馨园,2020-04-22,BJ2497808691630448640,整租,1室0厅1卫 29㎡ 精装修,1室0厅1卫,29㎡,精装修,史思雨,29㎡,东,今天,随时入住,中楼层/7层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,需咨询,4000,4000,0,4000,
https://bj.lianjia.com/zufang/BJ2497540508327886848.html,东城 广渠门 东方财富,2020-04-22,BJ2497540508327886848,整租,1室0厅1卫 45㎡,1室0厅1卫,45㎡,#,于春龙,45㎡,东,今天,2020-05-04,中楼层/15层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5500,5500,0,5500,
https://bj.lianjia.com/zufang/BJ2499943202992431104.html,房山 良乡 四合巷小区,2020-04-19,BJ2499943202992431104,整租,2室1厅1卫 65㎡,2室1厅1卫,65㎡,#,崔延峰,65㎡,南 北,3天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2500,2500,0,2500,
https://bj.lianjia.com/zufang/BJ2497721051010564096.html,朝阳 管庄 烟厂宿舍,2020-04-16,BJ2497721051010564096,整租,2室1厅1卫 66㎡,2室1厅1卫,66㎡,#,庄天浩,66㎡,南 北,6天前,随时入住,中楼层/7层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0,4800,
https://bj.lianjia.com/zufang/BJ2500596787770310656.html,顺义 顺义城 滨河小区,2020-04-15,BJ2500596787770310656,整租,2室1厅1卫 73㎡,2室1厅1卫,73㎡,#,王云,73㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000,
https://bj.lianjia.com/zufang/BJ2499217514144202752.html,顺义 顺义城 滨河小区,2020-04-18,BJ2499217514144202752,整租,1室1厅1卫 60㎡,1室1厅1卫,60㎡,#,刘秀莲,60㎡,南 北,4天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2800,2800,0,2800,
https://bj.lianjia.com/zufang/BJ2499055463862378496.html,朝阳 潘家园 松榆西里,2020-04-15,BJ2499055463862378496,整租,2室1厅1卫 47㎡ 精装修,2室1厅1卫,47㎡,精装修,杨懿,47㎡,西,7天前,2020-04-30,高楼层/20层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5200,5200,0,5200,
https://bj.lianjia.com/zufang/BJ2496273629265281024.html,大兴 天宫院南 隆盛园,2020-04-16,BJ2496273629265281024,整租,3室2厅2卫 108㎡,3室2厅2卫,108㎡,#,张浩,108㎡,南 北,6天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2500,2500,0,2500,
https://bj.lianjia.com/zufang/BJ2497085303735451648.html,顺义 李桥 馨港庄园三区,2020-04-15,BJ2497085303735451648,整租,2室1厅1卫 63㎡,2室1厅1卫,63㎡,#,王楠楠,63㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000,
https://bj.lianjia.com/zufang/BJ2497164307863699456.html,昌平 北七家 温泉花园A区,2020-04-22,BJ2497164307863699456,整租,2室1厅1卫 64㎡,2室1厅1卫,64㎡,#,张帅鑫,64㎡,南 北,今天,随时入住,中楼层/5层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,2800,2800,0,2800,
https://bj.lianjia.com/zufang/BJ2499996459143790592.html,朝阳 潘家园 松榆西里,2020-04-15,BJ2499996459143790592,整租,2室0厅1卫 59㎡,2室0厅1卫,59㎡,#,李祜,59㎡,南,7天前,随时入住,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5000,5000,0,5000,
