,时间,人口(万人),出生率(‰),增长率(‰),老年(%),儿童(%),男性(%),女性(%),全国出生人口(万人),全国死亡人口(万人)
0,2023,140967.0,6.39,-1.48,15.4,16.36,51.1,48.9,902.0,1110.0
1,2022,141175.0,5.22,0.33,14.9,16.9,51.15,48.85,956.0,1041.0
2,2021,141260.0,7.52,0.34,14.2,17.47,51.2,48.8,1062.0,1014.0
3,2020,141178.0,8.52,1.45,13.5,17.95,51.24,48.76,1200.0,997.6
4,2019,140005.0,10.41,3.32,12.6,16.78,51.09,48.91,1465.0,998.0
5,2018,139538.0,10.86,3.78,11.9,16.86,51.13,48.87,1523.0,993.0
6,2017,139008.0,12.64,5.58,11.39,16.8,51.17,48.83,1723.0,986.0
7,2016,138271.0,13.57,6.53,16.7,16.64,51.2,48.8,1786.0,977.0
8,2015,137462.0,11.99,4.93,10.5,16.52,51.2,48.8,1655.0,975.0
9,2014,136782.0,13.83,6.71,10.1,16.5,51.23,48.77,1687.0,977.0
10,2013,136072.0,13.03,5.9,9.7,16.4,51.24,48.76,1640.0,972.0
11,2012,135404.0,14.57,7.43,9.4,16.5,51.25,48.75,1635.0,966.0
12,2011,134735.0,13.27,6.13,9.1,16.5,51.26,48.74,1604.0,960.0
13,2010,134091.0,11.9,4.79,8.9,16.6,51.27,48.73,1588.0,948.0
14,2009,133450.0,11.95,4.87,8.5,18.5,51.44,48.56,1615.0,943.0
15,2008,132802.0,12.14,5.08,8.3,19.0,51.47,48.53,1608.0,935.0
16,2007,132129.0,12.1,5.17,8.1,19.4,51.5,48.5,1594.0,913.0
17,2006,131448.0,12.09,5.28,7.9,19.8,51.52,48.48,1584.0,892.0
18,2005,130756.0,12.4,5.89,7.7,20.3,51.53,48.47,1617.0,849.0
19,2004,129988.0,12.29,5.87,7.6,21.5,51.52,48.48,1593.0,832.0
20,2003,129227.0,12.41,6.01,7.5,22.1,51.5,48.5,1599.0,825.0
21,2002,128453.0,12.86,6.45,7.3,22.4,51.47,48.53,1647.0,821.0
22,2001,127627.0,13.38,6.95,7.1,22.5,51.46,48.54,1702.0,818.0
23,2000,126743.0,14.03,7.58,7.0,22.9,51.63,48.37,1771.0,814.0
24,1999,125786.0,14.64,8.18,6.9,25.4,51.43,48.57,1909.0,810.0
25,1998,124761.0,15.64,9.14,6.7,25.7,51.25,48.75,1991.0,807.0
26,1997,123626.0,16.57,10.06,6.5,26.0,51.07,48.93,2038.0,801.0
27,1996,122389.0,16.98,10.42,6.4,26.4,50.82,49.18,,
28,1995,121121.0,17.12,10.55,6.2,26.6,51.03,48.97,,
29,1994,119850.0,17.7,11.21,6.4,27.0,51.1,48.9,,
30,1993,118517.0,18.09,11.45,6.2,27.2,51.02,48.98,,
31,1992,117171.0,18.24,11.6,6.2,27.6,51.05,48.95,,
32,1991,115823.0,19.68,12.98,6.0,27.7,51.34,48.66,,
33,1990,114333.0,21.06,14.39,5.6,27.7,51.52,48.48,,
34,1989,112704.0,21.58,15.04,,,51.55,48.45,,
35,1988,111026.0,22.37,15.73,,,51.52,48.48,,
36,1987,109300.0,23.33,16.61,5.4,28.7,51.5,48.5,,
37,1986,107507.0,22.43,15.57,,,51.7,48.3,,
38,1985,105851.0,21.04,14.26,,,51.7,48.3,,
39,1984,104357.0,19.9,13.08,,,51.6,48.4,,
40,1983,103008.0,20.19,13.29,,,51.6,48.4,,
41,1982,101654.0,22.28,15.68,4.9,33.6,51.5,48.5,,
42,1981,100072.0,20.91,14.55,,,51.48,48.52,,
43,1980,98705.0,18.21,11.87,,,51.45,48.55,,
44,1979,97542.0,17.82,11.61,,,51.46,48.54,,
45,1978,96259.0,18.25,12.0,,,51.49,48.51,,
46,1977,94974.0,19.03,12.12,,,51.5,48.5,,
47,1976,93717.0,20.01,12.72,,,51.49,48.51,,
48,1975,92420.0,23.13,15.77,,,51.47,48.53,,
49,1974,90859.0,24.95,17.57,,,51.43,48.57,,
50,1973,89211.0,28.07,20.99,,,51.42,48.58,,
51,1972,87177.0,29.92,22.27,,,51.4,48.6,,
52,1971,85229.0,30.74,23.4,,,51.41,48.59,,
53,1970,82992.0,33.59,25.95,,,51.43,48.57,,
54,1969,80671.0,34.25,26.19,,,,,,
55,1968,78534.0,35.75,27.5,,,,,,
56,1967,76368.0,34.12,25.65,,,,,,
57,1966,74542.0,35.21,26.34,,,,,,
58,1965,72538.0,38.0,28.5,,,51.18,48.82,,
59,1964,70499.0,39.34,27.78,,,,,,
60,1963,69172.0,43.6,33.5,,,,,,
61,1962,67295.0,37.22,27.14,,,51.29,48.71,,
62,1961,65859.0,18.13,3.8,,,,,,
63,1960,66207.0,20.86,-4.57,,,51.78,48.22,,
64,1959,67207.0,24.78,10.19,,,,,,
65,1958,65994.0,29.22,17.24,,,,,,
66,1957,64653.0,34.03,23.23,,,51.77,48.23,,
67,1956,62828.0,31.9,20.5,,,,,,
68,1955,61465.0,32.6,20.32,,,51.75,48.25,,
69,1954,60266.0,37.97,24.79,,,,,,
70,1953,58796.0,37.0,23.0,,,,,,
71,1952,57482.0,37.0,20.0,,,51.9,48.1,,
72,1951,56300.0,37.8,20.0,,,51.92,48.08,,
73,1950,55196.0,37.0,19.0,,,51.94,48.06,,
74,1949,54167.0,36.0,16.0,,,51.96,48.04,,
