代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数,明细
600009,上海机场,2023-12-31,3,2862.5982,1.15,-215.55,1.24,3,+展开明细
600012,皖通高速,2023-12-31,2,741.5,0.45,301.99,0.26,1,+展开明细
600026,中远海能,2023-12-31,3,8030.268,1.68,2450.1429,1.17,3,+展开明细
600028,中国石化,2023-12-31,1,23350.4214,0.2,5129.1137,0.15,1,+展开明细
600030,中信证券,2023-12-31,1,21032.5343,1.42,1348.4343,1.33,1,+展开明细
600038,中直股份,2023-12-31,3,1138.3163,1.93,-107.4583,2.11,3,+展开明细
600050,中国联通,2023-12-31,1,23253.2848,0.73,4972.0148,0.57,1,+展开明细
600055,万东医疗,2023-12-31,1,1221.5812,1.74,-78.89,1.85,1,+展开明细
600058,五矿发展,2023-12-31,1,705.8,0.66,137.71,0.53,1,+展开明细
600059,古越龙山,2023-12-31,1,886.6017,0.97,27.33,0.94,1,+展开明细
600060,海信视像,2023-12-31,3,6097.8349,4.67,-2218.9419,6.36,4,+展开明细
600061,国投资本,2023-12-31,1,5539.414,0.86,370.0694,0.8,1,+展开明细
600062,华润双鹤,2023-12-31,5,2847.2793,2.74,2208.6422,0.61,2,+展开明细
600066,宇通客车,2023-12-31,2,2457.2896,1.11,-449.1715,1.31,2,+展开明细
600075,新疆天业,2023-12-31,1,533.276,0.31,533.276,0.0,0,+展开明细
600079,人福医药,2023-12-31,3,6075.0654,3.72,-1079.7621,4.38,4,+展开明细
600085,同仁堂,2023-12-31,3,7051.386,5.14,-1621.3839,6.32,5,+展开明细
601975,招商南油,2023-12-31,2,7374.7547,1.52,3686.7647,0.76,1,+展开明细
600096,云天化,2023-12-31,1,717.7165,0.39,-246.7952,0.53,1,+展开明细
600097,开创国际,2023-12-31,2,299.82,1.24,-42.37,1.42,2,+展开明细
600104,上汽集团,2023-12-31,1,5692.1118,0.49,1215.8926,0.38,1,+展开明细
600121,郑州煤电,2023-12-31,2,840.7381,0.69,-405.6449,1.02,3,+展开明细
600129,太极集团,2023-12-31,4,3207.5377,5.76,-2059.0068,9.46,4,+展开明细
600132,重庆啤酒,2023-12-31,2,463.5515,0.96,-209.7066,1.39,3,+展开明细
600138,中青旅,2023-12-31,1,635.17,0.88,-309.35,1.3,1,+展开明细
600161,天坛生物,2023-12-31,3,6698.1846,4.06,2465.5515,2.57,2,+展开明细
600168,武汉控股,2023-12-31,1,210.0,0.3,-540.2142,1.06,3,+展开明细
600171,上海贝岭,2023-12-31,3,1349.398,1.9,-198.7553,2.17,2,+展开明细
600176,中国巨石,2023-12-31,1,2068.422,0.52,184.7536,0.47,1,+展开明细
600183,生益科技,2023-12-31,2,2369.461,1.01,2369.461,0.0,0,+展开明细
600185,格力地产,2023-12-31,1,873.1674,0.46,-95.1013,0.51,1,+展开明细
600188,兖矿能源,2023-12-31,4,4760.9887,0.64,-762.7953,0.74,4,+展开明细
600196,复星医药,2023-12-31,4,6340.2371,2.37,-1129.2121,2.79,5,+展开明细
600210,紫江企业,2023-12-31,2,2205.7662,1.45,266.2862,1.28,2,+展开明细
600223,福瑞达,2023-12-31,2,983.9135,0.97,983.9135,0.0,0,+展开明细
600235,民丰特纸,2023-12-31,4,908.32,2.59,35.09,2.49,4,+展开明细
600237,铜峰电子,2023-12-31,1,250.0,0.4,-350.78,0.97,1,+展开明细
600246,万通发展,2023-12-31,1,795.5317,0.39,-83.8917,0.43,1,+展开明细
600258,首旅酒店,2023-12-31,2,2095.1745,1.88,-165.45,2.02,2,+展开明细
600259,广晟有色,2023-12-31,2,300.12,0.89,-9.0983,0.92,2,+展开明细
600268,国电南自,2023-12-31,1,396.442,0.47,-347.508,0.88,3,+展开明细
600282,南钢股份,2023-12-31,3,19803.1083,3.21,-5561.698,4.11,4,+展开明细
600288,大恒科技,2023-12-31,2,715.1892,1.64,715.1892,0.0,0,+展开明细
600298,安琪酵母,2023-12-31,3,2437.9021,2.81,-371.4,3.23,4,+展开明细
600299,安迪苏,2023-12-31,2,771.0359,0.29,-737.7595,0.56,3,+展开明细
600309,万华化学,2023-12-31,1,2293.051,0.73,2293.051,0.0,0,+展开明细
600310,广西能源,2023-12-31,1,360.0262,0.25,360.0262,0.0,0,+展开明细
600316,洪都航空,2023-12-31,7,2112.334,2.95,-210.8047,3.24,6,+展开明细
600329,达仁堂,2023-12-31,1,534.8982,0.69,-848.93,1.8,1,+展开明细
600332,白云山,2023-12-31,1,1056.6457,0.65,-51.7983,0.68,1,+展开明细
600356,恒丰纸业,2023-12-31,1,188.93,0.63,46.97,0.48,1,+展开明细
600359,新农开发,2023-12-31,1,100.0,0.26,100.0,0.0,0,+展开明细
600362,江西铜业,2023-12-31,1,774.9729,0.22,-423.402,0.35,2,+展开明细
600372,中航机载,2023-12-31,1,1966.462,0.41,-1648.0963,0.75,2,+展开明细
600377,宁沪高速,2023-12-31,2,4058.5553,0.81,-521.2252,0.91,2,+展开明细
600380,健康元,2023-12-31,1,845.8496,0.45,-960.4474,0.94,2,+展开明细
600383,金地集团,2023-12-31,1,2444.3056,0.54,-375.6764,0.62,1,+展开明细
600388,龙净环保,2023-12-31,1,1338.0,1.24,150.0,1.1,1,+展开明细
600391,航发科技,2023-12-31,3,287.809,0.87,-1028.5676,3.99,4,+展开明细
600399,抚顺特钢,2023-12-31,5,13104.2281,6.64,2412.4175,5.42,4,+展开明细
600422,昆药集团,2023-12-31,4,5604.8278,7.39,-1170.7621,8.94,4,+展开明细
600426,华鲁恒升,2023-12-31,4,10022.991,4.72,-891.25,5.14,4,+展开明细
600428,中远海特,2023-12-31,1,489.5937,0.23,-331.4363,0.38,2,+展开明细
