名字,类型,城市,地区,地点,评分,评分人数,价格
香港嘉湖海逸酒店(Harbour Plaza Resort City),休闲度假,香港,元朗,天水围 天恩路18号,4.6,17604.0,422.0
香港铜锣湾皇悦酒店(Empire Hotel Hong Kong-Causeway Bay),浪漫情侣,香港,东区,铜锣湾永兴街8号,4.5,12708.0,693.0
香港碧荟酒店(The BEACON),商务出行,香港,油尖旺,九龙旺角洗衣街88号,4.7,328.0,747.0
香港湾仔帝盛酒店(Dorsett Wanchai),浪漫情侣,香港,湾仔,皇后大道东387-397号,4.4,5014.0,693.0
如心艾朗酒店(L‘hotel elan),浪漫情侣,香港,观塘,观塘创业街38号,4.6,3427.0,581.0
香港隆堡柏宁顿酒店(Hotel Pennington by Rhombus),浪漫情侣,香港,湾仔,铜锣湾边宁顿街13-15号,4.5,1938.0,869.0
海景嘉福洲际酒店(InterContinental Grand Stanford Hong Kong),海滨风光,香港,油尖旺,尖沙咀東部麽地道70号,4.7,4366.0,1296.0
香港怡东酒店(Excelsior Hotel),海滨风光,香港,湾仔,铜锣湾告士打道281号,4.6,6961.0,1184.0
香港富豪九龙酒店(Regal Kowloon Hotel),休闲度假,香港,油尖旺,尖沙嘴麽地道71号,4.5,11265.0,692.0
港岛香格里拉大酒店(Island Shangri-La),海滨风光,香港,中西区,金钟中区法院道太古广场,4.8,4182.0,2836.0
香港广易商务宾馆(家庭旅馆)(WIDE EVER HOSTEL),地铁周边,香港,油尖旺,九龙旺角弥敦道607号新兴大厦14楼16单位,4.1,1029.0,218.0
香港铜锣湾皇冠假日酒店(Crowne Plaza Hong Kong Causeway Bay),休闲度假,香港,湾仔,铜锣湾礼顿道八号,4.7,4446.0,1633.0
香港都会海逸酒店(Harbour Plaza Metropolis),海滨风光,香港,油尖旺,红磡 都会道7号,4.5,14872.0,562.0
如心南湾海景酒店(L‘hotel Island South),休闲度假,香港,南区,香港仔黄竹坑道55号,4.4,9573.0,447.0
香港朗廷酒店(The Langham Hong Kong),休闲度假,香港,油尖旺,尖沙嘴北京道8号,4.7,11039.0,1899.0
迪士尼探索家度假酒店(Disney Explorers Lodge),海滨风光,香港,离岛,迪士尼乐园度假区,4.8,4794.0,1662.0
香港港丽酒店(Conrad Hong Kong),海滨风光,香港,中西区,金钟 金钟道88号太古广场,4.7,2392.0,2490.0
香港美丽华酒店(The Mira Hong Kong),休闲度假,香港,九龙城,尖沙咀弥敦道118-130号美丽华广场,4.6,5882.0,1583.0
香港悦来酒店(Panda Hotel),休闲度假,香港,荃湾,荃湾 荃华街3号,4.5,13694.0,358.0
香港文华东方酒店(Mandarin Oriental Hong Kong),海滨风光,香港,中西区,中环干诺道中5号,4.8,2452.0,3609.0
香港恒丰酒店(Prudential Hotel),浪漫情侣,香港,油尖旺,尖沙嘴 弥敦道222号,4.5,8194.0,692.0
香港北角海逸酒店(Harbour Plaza North Point),海滨风光,香港,东区,"北角 英皇道665号(665 Kings Road, North Point, Hong Kong)",4.4,3980.0,507.0
香港帝景酒店(Royal View Hotel),海滨风光,香港,荃湾,汀九 青山公路353号,4.5,3289.0,418.0
香港南洋酒店(South Pacific Hotel),浪漫情侣,香港,湾仔,摩理臣山道23号,4.5,7981.0,445.0
